erva,latitude,longitude
TYKS,61.4851,21.7974
HYKS,60.1699,24.9384
OYS,65.0121,25.4651
KYS,62.898,27.6782
TAYS,61.4978,23.761
Norja,69.647095,24.200713
Ruotsi,65.691331,18.283758
Venäjä,65.14034,35.411563
