kuntanumero,name,latitude,longitude
850,Toivakka,26.0833,62.099998
851,Tornio,24.146601,65.848099
853,Turku,22.2687,60.4515
854,Pello,23.9625,66.77359799999999
857,Tuusniemi,28.5,62.8167
858,Tuusula,25.0264,60.403702
859,Tyrnävä,25.6523,64.764702
886,Ulvila,21.871,61.428398
887,Urjala,23.5333,61.083302
889,Utajärvi,26.383301,64.75
890,Utsjoki,27.0284,69.9086
892,Uurainen,25.450001,62.5
893,Uusikaarlepyy,22.5304,63.5218
895,Uusikaupunki,21.4084,60.8004
905,Vaasa,21.615801,63.096001
908,Valkeakoski,24.0312,61.264198
915,Varkaus,27.872999,62.3153
918,Vehmaa,21.6667,60.6833
921,Vesanto,26.4167,62.9333
922,Vesilahti,23.616699,61.3167
924,Veteli,23.7829,63.478401
925,Vieremä,27.016701,63.75
927,Vihti,24.3197,60.417
931,Viitasaari,25.866699,63.0667
934,Vimpeli,23.819201,63.1619
935,Virolahti,27.6831,60.516701
936,Virrat,23.780001000000002,62.247601
941,Vårdö,26.2675,60.387699
946,Vöyri,22.252198999999997,63.136101000000004
976,Ylitornio,23.677298999999998,66.308899
977,Ylivieska,24.549999,64.083298
980,Ylöjärvi,23.5961,61.556301
981,Ypäjä,23.2833,60.799999
989,Ähtäri,24.061899,62.554001
992,Äänekoski,25.733299,62.599998
