municipalityNumber,provinceNumber,province,municipality,latitude,longitude
286,8,Kymenlaakso,Kouvola,26.700001,60.866699
287,15,Pohjanmaa,Kristiinankaupunki,21.3798,62.2739
288,15,Pohjanmaa,Kruunupyy,23.143101,63.721199
290,18,Kainuu,Kuhmo,29.516701,64.133301
291,13,Keski-Suomi,Kuhmoinen,25.1833,61.5667
295,21,Ahvenanmaa,Kumlinge,20.778,60.2588
297,11,Pohjois-Savo,Kuopio,27.677,62.892399
300,14,Etelä-Pohjanmaa,Kuortane,23.5,62.799999
301,14,Etelä-Pohjanmaa,Kurikka,22.4167,62.616699
304,2,Varsinais-Suomi,Kustavi,21.358801,60.5453
305,17,Pohjois-Pohjanmaa,Kuusamo,29.1833,65.966698
309,12,Pohjois-Karjala,Outokumpu,29.0159,62.726799
312,13,Keski-Suomi,Kyyjärvi,24.5667,63.033298
316,7,Päijät-Häme,Kärkölä,23.941999,60.6129
317,17,Pohjois-Pohjanmaa,Kärsämäki,25.766701,63.96670200000001
318,21,Ahvenanmaa,Kökar,20.9091,59.9208
320,19,Lappi,Kemijärvi,27.430599,66.71309699999999
322,2,Varsinais-Suomi,Kemiönsaari,22.483299,60.0667
398,7,Päijät-Häme,Lahti,25.661501,60.9827
399,15,Pohjanmaa,Laihia,22.0114,62.976101
400,2,Varsinais-Suomi,Laitila,21.697701,60.875801
402,11,Pohjois-Savo,Lapinlahti,27.4,63.366699
403,14,Etelä-Pohjanmaa,Lappajärvi,23.633301,63.200001
405,9,Etelä-Karjala,Lappeenranta,28.1887,61.058701
407,1,Uusimaa,Lapinjärvi,26.197201,60.624401
408,14,Etelä-Pohjanmaa,Lapua,23.008801,62.969299
410,13,Keski-Suomi,Laukaa,25.9519,62.414101
416,9,Etelä-Karjala,Lemi,27.8057,61.062401
417,21,Ahvenanmaa,Lemland,20.0864,60.0689
418,6,Pirkanmaa,Lempäälä,23.75,61.3167
420,11,Pohjois-Savo,Leppävirta,27.7826,62.490101
421,16,Keski-Pohjanmaa,Lestijärvi,24.65,63.533298
422,12,Pohjois-Karjala,Lieksa,30.016701,63.3167
423,2,Varsinais-Suomi,Lieto,22.4618,60.5103
425,17,Pohjois-Pohjanmaa,Liminka,25.4154,64.809898
426,12,Pohjois-Karjala,Liperi,29.366699,62.533298
430,2,Varsinais-Suomi,Loimaa,22.950001,60.766701
433,5,Kanta-Häme,Loppi,24.450001,60.71670200000001
434,1,Uusimaa,Loviisa,26.225,60.4566
435,13,Keski-Suomi,Luhanka,25.704599,61.796799
436,17,Pohjois-Pohjanmaa,Lumijoki,25.1861,64.837402
438,21,Ahvenanmaa,Lumparland,20.262,60.1152
440,15,Pohjanmaa,Luoto,22.747299,63.753899
441,9,Etelä-Karjala,Luumäki,27.5814,60.926201
444,1,Uusimaa,Lohja,24.0653,60.2486
445,2,Varsinais-Suomi,Parainen,22.301001,60.306702
475,15,Pohjanmaa,Maalahti,21.573099,62.9422
478,21,Ahvenanmaa,Maarianhamina,19.9348,60.0971
480,2,Varsinais-Suomi,Marttila,22.9,60.583302
481,2,Varsinais-Suomi,Masku,22.098801,60.570801
483,17,Pohjois-Pohjanmaa,Merijärvi,24.450001,64.300003
484,4,Satakunta,Merikarvia,21.500401,61.858398
489,8,Kymenlaakso,Miehikkälä,27.700001,60.666698
491,10,Etelä-Savo,Mikkeli,27.272301,61.688599
494,17,Pohjois-Pohjanmaa,Muhos,25.993099,64.807999
495,13,Keski-Suomi,Multia,24.7833,62.416698
498,19,Lappi,Muonio,23.700001,67.949997
499,15,Pohjanmaa,Mustasaari,26.0012,63.6073
500,13,Keski-Suomi,Muurame,25.6667,62.133301
503,2,Varsinais-Suomi,Mynämäki,21.992701,60.6791
504,1,Uusimaa,Myrskylä,25.8475,60.669701
505,1,Uusimaa,Mäntsälä,25.3167,60.633301
507,10,Etelä-Savo,Mäntyharju,26.883301,61.416698
508,6,Pirkanmaa,Mänttä-Vilppula,24.627899,62.030102
529,2,Varsinais-Suomi,Naantali,22.0243,60.4674
531,4,Satakunta,Nakkila,22.0,61.366699
535,17,Pohjois-Pohjanmaa,Nivala,24.9667,63.916698
536,6,Pirkanmaa,Nokia,23.5,61.46670200000001
538,2,Varsinais-Suomi,Nousiainen,22.0793,60.604198
541,12,Pohjois-Karjala,Nurmes,29.1397,63.542
543,1,Uusimaa,Nurmijärvi,24.807301,60.4641
545,15,Pohjanmaa,Närpiö,21.337099,62.472801
560,7,Päijät-Häme,Orimattila,25.729601,60.804901
561,2,Varsinais-Suomi,Oripää,22.6833,60.849998
562,6,Pirkanmaa,Orivesi,24.357201,61.6777
563,17,Pohjois-Pohjanmaa,Oulainen,24.799999,64.266701
564,17,Pohjois-Pohjanmaa,Oulu,25.468201,65.012398
576,7,Päijät-Häme,Padasjoki,25.2833,61.349998
577,2,Varsinais-Suomi,Paimio,22.686899,60.456699
578,18,Kainuu,Paltamo,27.8333,64.416702
580,9,Etelä-Karjala,Parikkala,29.5,61.549999
581,6,Pirkanmaa,Parkano,23.016701,62.016701
583,19,Lappi,Pelkosenniemi,27.510599,67.110802
584,16,Keski-Pohjanmaa,Perho,24.4167,63.21670200000001
588,10,Etelä-Savo,Pertunmaa,26.483299,61.5
592,13,Keski-Suomi,Petäjävesi,25.200001,62.25
593,10,Etelä-Savo,Pieksämäki,27.133301,62.299999
595,11,Pohjois-Savo,Pielavesi,26.75,63.233299
598,15,Pohjanmaa,Pietarsaari,22.6833,63.650002
599,15,Pohjanmaa,Pedersören kunta,22.6833,63.650002
601,13,Keski-Suomi,Pihtipudas,25.5667,63.383301
604,6,Pirkanmaa,Pirkkala,23.632299,61.4613
607,12,Pohjois-Karjala,Polvijärvi,29.366699,62.849998
608,4,Satakunta,Pomarkku,22.0086,61.693501
609,4,Satakunta,Pori,21.7833,61.483299
611,1,Uusimaa,Pornainen,25.374901,60.4758
614,19,Lappi,Posio,28.1719,66.108597
615,17,Pohjois-Pohjanmaa,Pudasjärvi,26.9167,65.383301
616,1,Uusimaa,Pukkila,25.5667,60.650002
619,6,Pirkanmaa,Punkalaidun,23.1,61.116699
620,18,Kainuu,Puolanka,27.6667,64.866699
623,10,Etelä-Savo,Puumala,28.1749,61.527302
624,8,Kymenlaakso,Pyhtää,26.543501000000006,60.4935
625,17,Pohjois-Pohjanmaa,Pyhäjoki,24.233299,64.466698
626,17,Pohjois-Pohjanmaa,Pyhäjärvi,25.9,63.666698
630,17,Pohjois-Pohjanmaa,Pyhäntä,26.3167,64.099998
631,2,Varsinais-Suomi,Pyhäranta,21.450001,60.950001
635,6,Pirkanmaa,Pälkäne,24.271999,61.33420200000001
636,2,Varsinais-Suomi,Pöytyä,22.6667,60.766701
638,1,Uusimaa,Porvoo,25.6651,60.3923
678,17,Pohjois-Pohjanmaa,Raahe,24.483299,64.683296
680,2,Varsinais-Suomi,Raisio,22.1689,60.485901
681,10,Etelä-Savo,Rantasalmi,28.299999,62.0667
683,19,Lappi,Ranua,26.5333,65.916702
684,4,Satakunta,Rauma,21.511299,61.127201
686,11,Pohjois-Savo,Rautalampi,26.8333,62.633301
687,11,Pohjois-Savo,Rautavaara,28.299999,63.483299
689,9,Etelä-Karjala,Rautjärvi,29.35,61.4333
691,17,Pohjois-Pohjanmaa,Reisjärvi,24.9,63.616699
694,5,Kanta-Häme,Riihimäki,24.7773,60.737701
697,18,Kainuu,Ristijärvi,28.2167,64.5
698,19,Lappi,Rovaniemi,25.7167,66.5
700,9,Etelä-Karjala,Ruokolahti,28.8333,61.283298
702,6,Pirkanmaa,Ruovesi,24.0571,61.985699
704,2,Varsinais-Suomi,Rusko,22.2167,60.533298
707,12,Pohjois-Karjala,Rääkkylä,29.616699,62.3167
710,1,Uusimaa,Raasepori,23.433901,59.973598
729,13,Keski-Suomi,Saarijärvi,25.254,62.704899
732,19,Lappi,Salla,28.6667,66.833298
734,2,Varsinais-Suomi,Salo,23.133301,60.383301
736,21,Ahvenanmaa,Saltvik,25.982201,60.221298
738,2,Varsinais-Suomi,Sauvo,22.6964,60.343102
739,9,Etelä-Karjala,Savitaipale,27.700001,61.200001
740,10,Etelä-Savo,Savonlinna,28.879999,61.8699
742,19,Lappi,Savukoski,28.1581,67.292503
743,14,Etelä-Pohjanmaa,Seinäjoki,22.828199,62.794498
