hcd_name,hcd_code,latitude,longitude
Central-Finland-Hospital-District,14,25.47404694354725,62.629069791574494
Itä-Savo-Hospital-District,11,28.852977341508705,61.93150190021785
Kanta-Häme-Hospital-District,5,24.32509686393812,60.91874340711472
Central-Ostrobothnia-Hospital-District,15,23.03833547141283,62.743009081214204
Päijät-Häme-Hospital-District,7,25.75738371944906,61.158259573227696
Åland,0,20.06048410793743,60.20189392831727
South-Karelia-Hospital-District,9,28.378346373271622,61.2015121361712
North-Savo-Hospital-District,13,27.48054217581617,63.15552672493647
Central-Ostrobothnia-Hospital-District,17,24.0551827937684,63.612615198123514
Lappi-Hospital-District,21,26.439318504006437,67.84630146782848
North-Karelia-Hospital-District,12,29.870393018174706,62.890280499194006
Kymenlaakso-Hospital-District,8,26.971797750964715,60.808228397170886
Satakunta-Hospital-District,4,22.14910077921967,61.52834882050345
Vaasa-Hospital-District,16,21.99861870902998,63.011334707111395
Länsi-Pohja-Hospital-District,20,24.760350648569965,66.13537647835845
Southwest-Finland-Hospital-District,3,22.595488795844236,60.58583965126822
South-Savo-Hospital-District,10,27.277775193351847,61.80403847658098
Pirkanmaa-Hospital-District,6,23.916969326824674,61.725492202565285
North-Ostrobothnia-Hospital-District,18,26.644479782585485,64.961465028917
Helsinki-and-Uusimaa-Hospital-District,25,24.732577404821324,60.35629921173572
Kainuu-Hospital-District,19,28.71433516118759,64.52118699537276
South-Ostrobothnia-Hospital-District,15,23.03833547141283,62.743009081214204
